Unnamed: 0,unique_id,big_score,small_score,txt,review_words,review_lenth,区位,餐饮,房间设施,娱乐设施,店内设施,服务,风格化,安全,卫生,价格
0,1049630,['s5'],"['s5', 's5', 's5', 's5']","['服务', '非常好', '位置', '非常好', '设施', '非常好', '早餐', '非常好']",['虽说略贵，但性价比很高，购物方便，旁边的凤凰汇走路五分钟就到了，各种餐饮店品牌店电影院，还有进口商品为主的bit超市。在京有朋友的话，住这家酒店约朋友见面挺好的，除了地铁站口（D）就是酒店了，极其方便～'],105,1,0,2,0,0,0,0,0,0,2
1,627993,['s5'],"['s5', 's5', 's3', 's5']","['卫生', '非常好', '服务', '非常好', '隔音', '一般', '安全', '非常好']",['很舒适，离亚体很近，看男票来的，环境很好，设施也很齐全，服务态度也很不错，卫生很干净，隔音不是很好，能听到隔壁大声说话的声音，十一国庆节继续住，前台给注册了会员，每个月可以抢99的特价房，总体来说赞赞哒。亲们可以放心入住啦'],115,1,0,2,0,1,1,0,0,0,1
2,906069,['s4'],"['s5', 's5', 's4', 's4', 's3', 's4']","['设备设施', '非常好', '环境卫生', '非常好', '服务质量', '很好', '地理位置', '很好', '餐饮服务', '一般', '性价比', '很好']",['新开的酒店，非常干净，别墅区环境很美，很安静，禁止烧烤。移动木屋在gong公园区内，可以在院子里烧烤，但是环境较为嘈杂。洗浴用品很齐全，很新，但是热水比较小。移动木屋内有电磁炉，别墅没有，有小冰柜，周边有很多农家院。附近貌似有个军用机场，白天飞机比较多，晚上还好。'],136,2,0,2,0,0,0,0,0,1,0
3,1433082,['s5'],"['s5', 's5', 's5', 's5']","['卫生', '非常好', '服务', '非常好', '风格', '非常好', '安全', '非常好']",['很满意，跟秋果酒店两家连在一起的，所以接送车也标示着秋果。房间小而整洁，卫生也干净，最欣赏一点就是隔音真的很好，除了有偶尔飞机经过的声音，但客房间的躁音一点都没有，对于我这种睡眠质量差的人也睡了个好觉'],104,0,0,1,0,0,0,0,0,1,0
4,1411231,['s5'],"['s5', 's5', 's5', 's5']","['卫生', '非常好', '服务', '非常好', '位置', '非常好', '设施', '非常好']",['主题酒店，有特色。服务很好，交通也方便。中间发生了些小事情都很好的解决了。服务人员个个都有礼貌且住宿条件也不错。被套干净。很喜欢酒店的格调，最喜欢第一晚醒来听到大妈浓厚北京腔和年轻女人方方正正的普通话，有一种回到老北京住四合院的错觉，虽然只有一瞬间。总体还是不错的。推荐'],139,1,0,1,0,0,1,1,0,1,0
5,339675,['s4'],"['s4', 's4', 's4', 's4']","['服务', '很好', '位置', '很好', '设施', '很好', '早餐', '很好']",['说起来服务吧，怎么觉得个别还是不错的！有些典型的对老外热情！不过前台的接待时特别人性化，我们退了个酒店过来时早上11多，马上就给我们办理了入住！而且服务生还把行李送到了房间里！最觉得温馨的是说了带的宝宝，马上就准备了这么多东西！很是贴心！'],123,0,0,1,0,0,1,0,0,0,0
6,1061927,['s5'],"['s5', 's5', 's5', 's5']","['卫生', '非常好', '服务', '非常好', '风格', '非常好', '安全', '非常好']",['农家院的氛围，酒店的设施，五星级的服务！，叔叔阿姨很热情，水镇跟长城套票是170，先去爬长城，然后再去水镇比较好，水镇晚上有喷泉，3D版的，夜里气温较低，建议后来的小伙伴带点厚的衣服！'],96,2,0,1,0,0,1,1,0,0,0
7,965055,['s5'],"['s5', 's5', 's5', 's5']","['卫生', '非常好', '服务', '非常好', '风格', '非常好', '安全', '非常好']","['交通便利 离各个旅游点逛街点都很方便', '小四合院  院内环境不错', '一个人呆了一周 安全问题挺放心的', '前台养的汪汪各种萌萌哒 下次还会选这里']",81,1,0,2,0,1,0,0,1,0,0
8,481176,['s2'],"['s1', 's3', 's1', 's3']","['卫生', '糟糕', '服务', '一般', '风格', '糟糕', '安全', '一般']",['差评不是一般的差#卫生#网上订了三天的房要不然绝对不会住下去的。房间里尽然有蟑螂和跳蚤！！！！！咬的我浑身的疙瘩。要不是一下订了三天的而又不能退就真的待不下去了。我看这酒店的口号绝对是只做宇宙第一差的旅店'],106,0,0,3,0,0,0,0,0,3,0
9,1338166,['s3'],"['s3', 's3', 's3', 's3']","['卫生', '一般', '服务', '一般', '隔音', '一般', '安全', '一般']",['位置很方便，就在西单图书大厦附近，房间一般，房间较小，该有的有，大北京就这样，毛巾发黄，还是自己带毛巾比较👌'],58,1,0,2,0,0,0,0,0,0,0
